store_name,product_name,category_name,quantity,Stock_Status
Santa Cruz Bikes,Trek 820 - 2016,Mountain Bikes,27,Well Stocked
Santa Cruz Bikes,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,5,Moderate
Santa Cruz Bikes,Surly Wednesday Frameset - 2016,Mountain Bikes,6,Moderate
Santa Cruz Bikes,Trek Fuel EX 8 29 - 2016,Mountain Bikes,23,Well Stocked
Santa Cruz Bikes,Heller Shagamaw Frame - 2016,Mountain Bikes,22,Well Stocked
Santa Cruz Bikes,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,0,Out of Stock
Santa Cruz Bikes,Trek Slash 8 27.5 - 2016,Mountain Bikes,8,Moderate
Santa Cruz Bikes,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,0,Out of Stock
Santa Cruz Bikes,Trek Conduit+ - 2016,Electric Bikes,11,Moderate
Santa Cruz Bikes,Surly Straggler - 2016,Cyclocross Bicycles,15,Moderate
Santa Cruz Bikes,Surly Straggler 650b - 2016,Cyclocross Bicycles,8,Moderate
Santa Cruz Bikes,Electra Townie Original 21D - 2016,Cruisers Bicycles,16,Moderate
Santa Cruz Bikes,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,13,Moderate
Santa Cruz Bikes,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,8,Moderate
Santa Cruz Bikes,Electra Moto 1 - 2016,Cruisers Bicycles,3,Low Stock
Santa Cruz Bikes,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,4,Low Stock
Santa Cruz Bikes,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,2,Low Stock
Santa Cruz Bikes,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,16,Moderate
Santa Cruz Bikes,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,4,Low Stock
Santa Cruz Bikes,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,26,Well Stocked
Santa Cruz Bikes,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,24,Well Stocked
Santa Cruz Bikes,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,29,Well Stocked
Santa Cruz Bikes,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,9,Moderate
Santa Cruz Bikes,Electra Townie Original 21D - 2016,Comfort Bicycles,10,Moderate
Santa Cruz Bikes,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,10,Moderate
Santa Cruz Bikes,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,16,Moderate
Santa Cruz Bikes,Surly Big Dummy Frameset - 2017,Mountain Bikes,21,Well Stocked
Santa Cruz Bikes,Surly Karate Monkey 27.5+ Frameset - 2017,Mountain Bikes,20,Well Stocked
Santa Cruz Bikes,Trek X-Caliber 8 - 2017,Mountain Bikes,13,Moderate
Santa Cruz Bikes,Surly Ice Cream Truck Frameset - 2017,Mountain Bikes,30,Well Stocked
Santa Cruz Bikes,Surly Wednesday - 2017,Mountain Bikes,2,Low Stock
Santa Cruz Bikes,Trek Farley Alloy Frameset - 2017,Mountain Bikes,0,Out of Stock
Santa Cruz Bikes,Surly Wednesday Frameset - 2017,Mountain Bikes,10,Moderate
Santa Cruz Bikes,Trek Session DH 27.5 Carbon Frameset - 2017,Mountain Bikes,2,Low Stock
Santa Cruz Bikes,Sun Bicycles Spider 3i - 2017,Mountain Bikes,18,Moderate
Santa Cruz Bikes,Surly Troll Frameset - 2017,Mountain Bikes,26,Well Stocked
Santa Cruz Bikes,Haro Flightline One ST - 2017,Mountain Bikes,12,Moderate
Santa Cruz Bikes,Haro Flightline Two 26 Plus - 2017,Mountain Bikes,13,Moderate
Santa Cruz Bikes,Trek Stache 5 - 2017,Mountain Bikes,2,Low Stock
Santa Cruz Bikes,Trek Fuel EX 9.8 29 - 2017,Mountain Bikes,24,Well Stocked
Santa Cruz Bikes,Haro Shift R3 - 2017,Mountain Bikes,10,Moderate
Santa Cruz Bikes,Trek Fuel EX 5 27.5 Plus - 2017,Mountain Bikes,0,Out of Stock
Santa Cruz Bikes,Trek Fuel EX 9.8 27.5 Plus - 2017,Mountain Bikes,2,Low Stock
Santa Cruz Bikes,Haro SR 1.1 - 2017,Mountain Bikes,1,Low Stock
Santa Cruz Bikes,Haro SR 1.2 - 2017,Mountain Bikes,15,Moderate
Santa Cruz Bikes,Haro SR 1.3 - 2017,Mountain Bikes,19,Moderate
Santa Cruz Bikes,Trek Remedy 9.8 - 2017,Mountain Bikes,21,Well Stocked
Santa Cruz Bikes,Trek Emonda S 4 - 2017,Road Bikes,5,Moderate
Santa Cruz Bikes,Trek Domane SL 6 - 2017,Road Bikes,8,Moderate
Santa Cruz Bikes,Trek Silque SLR 7 Women's - 2017,Road Bikes,29,Well Stocked
Santa Cruz Bikes,Trek Silque SLR 8 Women's - 2017,Road Bikes,2,Low Stock
Santa Cruz Bikes,Surly Steamroller - 2017,Road Bikes,18,Moderate
Santa Cruz Bikes,Surly Ogre Frameset - 2017,Road Bikes,17,Moderate
Santa Cruz Bikes,Trek Domane SL Disc Frameset - 2017,Road Bikes,11,Moderate
Santa Cruz Bikes,Trek Domane S 6 - 2017,Road Bikes,11,Moderate
Santa Cruz Bikes,Trek Domane SLR 6 Disc - 2017,Road Bikes,15,Moderate
Santa Cruz Bikes,Trek Emonda S 5 - 2017,Road Bikes,1,Low Stock
Santa Cruz Bikes,Trek Madone 9.2 - 2017,Road Bikes,1,Low Stock
Santa Cruz Bikes,Trek Domane S 5 Disc - 2017,Road Bikes,22,Well Stocked
Santa Cruz Bikes,Sun Bicycles ElectroLite - 2017,Electric Bikes,19,Moderate
Santa Cruz Bikes,Trek Powerfly 8 FS Plus - 2017,Electric Bikes,30,Well Stocked
Santa Cruz Bikes,Trek Boone 7 - 2017,Cyclocross Bicycles,21,Well Stocked
Santa Cruz Bikes,Trek Boone Race Shop Limited - 2017,Cyclocross Bicycles,4,Low Stock
Santa Cruz Bikes,Electra Townie Original 7D - 2017,Cruisers Bicycles,30,Well Stocked
Santa Cruz Bikes,Sun Bicycles Lil Bolt Type-R - 2017,Cruisers Bicycles,10,Moderate
Santa Cruz Bikes,Sun Bicycles Revolutions 24 - 2017,Cruisers Bicycles,12,Moderate
Santa Cruz Bikes,Sun Bicycles Revolutions 24 - Girl's - 2017,Cruisers Bicycles,19,Moderate
